Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Philadelphia 76ers,Oklahoma City Thunder,L,11/24/2012,265:00,45,91,0.495,7,20,0.35,12,17,0.706,12,31,43,31,7,4,15,28,109,-7
Oklahoma City Thunder,Philadelphia 76ers,W,11/24/2012,265:00,39,88,0.443,6,21,0.286,32,37,0.865,18,24,42,21,11,5,12,20,116,7
Washington Wizards,Charlotte Bobcats,L,11/24/2012,290:00,34,93,0.366,6,27,0.222,32,39,0.821,18,35,53,21,11,5,19,28,106,-2
Charlotte Bobcats,Washington Wizards,W,11/24/2012,290:00,34,83,0.41,12,28,0.429,28,36,0.778,5,35,40,20,12,5,17,33,108,2
Los Angeles Clippers,Atlanta Hawks,L,11/24/2012,240:00,32,75,0.427,8,19,0.421,21,25,0.84,7,30,37,19,13,3,14,22,93,-11
Atlanta Hawks,Los Angeles Clippers,W,11/24/2012,240:00,38,75,0.507,7,17,0.412,21,26,0.808,8,31,39,26,5,2,18,18,104,11
Miami Heat,Cleveland Cavaliers,W,11/24/2012,238:35,36,69,0.522,9,19,0.474,29,37,0.784,9,30,39,21,5,5,18,25,110,2
Cleveland Cavaliers,Miami Heat,L,11/24/2012,238:35,35,79,0.443,14,31,0.452,24,33,0.727,10,22,32,21,9,0,10,29,108,-2
Los Angeles Lakers,Dallas Mavericks,W,11/24/2012,240:00,40,82,0.488,12,22,0.545,23,34,0.676,11,50,61,21,11,4,19,23,115,26
Dallas Mavericks,Los Angeles Lakers,L,11/24/2012,240:00,34,92,0.37,10,28,0.357,11,20,0.55,9,30,39,22,9,6,15,28,89,-26
Milwaukee Bucks,Chicago Bulls,L,11/24/2012,240:00,38,88,0.432,3,17,0.176,7,10,0.7,10,30,40,20,10,10,9,20,86,-7
Chicago Bulls,Milwaukee Bucks,W,11/24/2012,240:00,32,82,0.39,4,16,0.25,25,26,0.962,20,34,54,17,4,2,16,18,93,7
Utah Jazz,Sacramento Kings,L,11/24/2012,240:00,32,79,0.405,11,25,0.44,22,30,0.733,17,21,38,23,11,4,17,26,97,-11
Sacramento Kings,Utah Jazz,W,11/24/2012,240:00,40,74,0.541,6,16,0.375,22,32,0.688,14,23,37,19,8,2,14,20,108,11
Minnesota Timberwolves,Golden State Warriors,L,11/24/2012,240:00,33,86,0.384,5,27,0.185,14,19,0.737,11,28,39,25,8,3,10,24,85,-11
Golden State Warriors,Minnesota Timberwolves,W,11/24/2012,240:00,33,78,0.423,6,21,0.286,24,29,0.828,13,35,48,18,1,3,13,25,96,11
Toronto Raptors,San Antonio Spurs,L,11/25/2012,290:00,40,110,0.364,6,24,0.25,20,24,0.833,17,44,61,21,6,8,12,25,106,-5
San Antonio Spurs,Toronto Raptors,W,11/25/2012,290:00,44,103,0.427,8,27,0.296,15,19,0.789,7,45,52,25,4,5,11,18,111,5
